Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"Recipe.step 11 N2","V10145",Word,1,R/W,100,,,,,,,,,,"N2 flow setpoint, MFC-2 step 11",
"Recipe.step 11 NH3","V10150",Word,1,R/W,100,,,,,,,,,,"NH3 flow setpoin, MFC-7, t step 11",
"Recipe.step 11 O2","V10144",Word,1,R/W,100,,,,,,,,,,"O2 flow setpoint, MFC-1  step 11",
"Recipe.step 11 Press","V10143",Word,1,R/W,100,,,,,,,,,,"Furnace pressure setpoint step 11",
"Recipe.step 11 Right","V11056",Word,1,R/W,100,,,,,,,,,,"Right heater temperature step 11",
"Recipe.step 11 Time","V10153",Word,1,R/W,100,,,,,,,,,,"Process time step 11",
"Recipe.step 12 Ar","V10163",Word,1,R/W,100,,,,,,,,,,"Ar flow setpoint, MFC-9,  step 12",
"Recipe.step 12 Center","V11061",Word,1,R/W,100,,,,,,,,,,"Center heater temperature step 12",
"Recipe.step 12 CH4","V10157",Word,1,R/W,100,,,,,,,,,,"CH4 flow setpoint, MFC-4,   step 12",
"Recipe.step 12 H2","V10160",Word,1,R/W,100,,,,,,,,,,"H2 flow setpoint, MFC-5 & MFC-6,  step 12",
"Recipe.step 12 H2S","V10162",Word,1,R/W,100,,,,,,,,,,"H2S flow setpoint, MFC-8,  step 12",
"Recipe.step 12 Ht time","V11063",Word,1,R/W,100,,,,,,,,,,"Heater timer step 12",
"Recipe.step 12 Left","V11060",Word,1,R/W,100,,,,,,,,,,"Left heater temperature step 12",
"Recipe.step 12 N2","V10156",Word,1,R/W,100,,,,,,,,,,"N2 flow setpoint, MFC-2 step 12",
"Recipe.step 12 NH3","V10161",Word,1,R/W,100,,,,,,,,,,"NH3 flow setpoin, MFC-7, t step 12",
"Recipe.step 12 O2","V10155",Word,1,R/W,100,,,,,,,,,,"O2 flow setpoint, MFC-1  step 12",
"Recipe.step 12 Press","V10154",Word,1,R/W,100,,,,,,,,,,"Furnace pressure setpoint step 12",
"Recipe.step 12 Right","V11062",Word,1,R/W,100,,,,,,,,,,"Right heater temperature step 12",
"Recipe.step 12 Time","V10164",Word,1,R/W,100,,,,,,,,,,"Process time step 12",
"Recipe.step 13 Ar","V10174",Word,1,R/W,100,,,,,,,,,,"Ar flow setpoint, MFC-9,  step 13",
"Recipe.step 13 Center","V11065",Word,1,R/W,100,,,,,,,,,,"Center heater temperature step 13",
"Recipe.step 13 CH4","V10170",Word,1,R/W,100,,,,,,,,,,"CH4 flow setpoint, MFC-4,   step 13",
"Recipe.step 13 H2","V10171",Word,1,R/W,100,,,,,,,,,,"H2 flow setpoint, MFC-5 & MFC-6,  step 13",
"Recipe.step 13 H2S","V10173",Word,1,R/W,100,,,,,,,,,,"H2S flow setpoint, MFC-8,  step 13",
"Recipe.step 13 Ht time","V11067",Word,1,R/W,100,,,,,,,,,,"Heater timer step 13",
"Recipe.step 13 Left","V11064",Word,1,R/W,100,,,,,,,,,,"Left heater temperature step 13",
"Recipe.step 13 N2","V10167",Word,1,R/W,100,,,,,,,,,,"N2 flow setpoint, MFC-2 step 13",
"Recipe.step 13 NH3","V10172",Word,1,R/W,100,,,,,,,,,,"NH3 flow setpoin, MFC-7, t step 13",
"Recipe.step 13 O2","V10166",Word,1,R/W,100,,,,,,,,,,"O2 flow setpoint, MFC-1  step 13",
"Recipe.step 13 Press","V10165",Word,1,R/W,100,,,,,,,,,,"Furnace pressure setpoint step 13",
"Recipe.step 13 Right","V11066",Word,1,R/W,100,,,,,,,,,,"Right heater temperature step 13",
"Recipe.step 13 Time","V10175",Word,1,R/W,100,,,,,,,,,,"Process time step 13",
"Recipe.step 14 Ar","V10205",Word,1,R/W,100,,,,,,,,,,"Ar flow setpoint, MFC-9,  step 14",
"Recipe.step 14 Center","V11071",Word,1,R/W,100,,,,,,,,,,"Center heater temperature step 14",
"Recipe.step 14 CH4","V10201",Word,1,R/W,100,,,,,,,,,,"CH4 flow setpoint, MFC-4,   step 14",
"Recipe.step 14 H2","V10202",Word,1,R/W,100,,,,,,,,,,"H2 flow setpoint, MFC-5 & MFC-6,  step 14",
"Recipe.step 14 H2S","V10204",Word,1,R/W,100,,,,,,,,,,"H2S flow setpoint, MFC-8,  step 14",
"Recipe.step 14 Left","V11070",Word,1,R/W,100,,,,,,,,,,"Left heater temperature step 14",
"Recipe.step 14 N2","V10200",Word,1,R/W,100,,,,,,,,,,"N2 flow setpoint, MFC-2 step 14",
"Recipe.step 14 NH3","V10203",Word,1,R/W,100,,,,,,,,,,"NH3 flow setpoin, MFC-7, t step 14",
"Recipe.step 14 O2","V10177",Word,1,R/W,100,,,,,,,,,,"O2 flow setpoint, MFC-1  step 14",
"Recipe.step 14 Press","V10176",Word,1,R/W,100,,,,,,,,,,"Furnace pressure setpoint step 14",
"Recipe.step 14 Right","V11072",Word,1,R/W,100,,,,,,,,,,"Right heater temperature step 14",
"Recipe.step 14 Time","V10206",Word,1,R/W,100,,,,,,,,,,"Process time step 14",
"Recipe.step 14 Zn 0","V11073",Word,1,R/W,100,,,,,,,,,,"Zone 0 temperature step 14",
"Recipe.step 15 Ar","V10216",Word,1,R/W,100,,,,,,,,,,"Ar flow setpoint, MFC-9,  step 15",
"Recipe.step 15 CH4","V10212",Word,1,R/W,100,,,,,,,,,,"CH4 flow setpoint, MFC-4,   step 15",
"Recipe.step 15 H2","V10213",Word,1,R/W,100,,,,,,,,,,"H2 flow setpoint, MFC-5 & MFC-6,  step 15",
"Recipe.step 15 H2S","V10215",Word,1,R/W,100,,,,,,,,,,"H2S flow setpoint, MFC-8,  step 15",
